id,titulo,autor,precio,idEditorial
1,It,Stephen King,1200,1
2,El Principito,Antoine de Saint-Exupery,400,5
3,Sabor a Muerte,P.D. James,500,4
4,La Casa de los Espiritus,Isabel Allende,600,6
5,Dr. Jekyll y Mr. Hyde,R.L.B Stevenson,500,2
6,La Nona,Roberto Cossa,600,3
7,El Hombre Ilustrado,Ray Bradbury,800,2
8,Harry Potter,J.K Rowling,1000,1
9,Martin Fierro,Jose Hernandez,400,2
10,El Juguete Rabioso,Roberto Arlt,500,1
11,Los Arboles Mueren de Pie,Alejandro Casona,460,2
12,Ojos de Fuego,Stephen King,700,4
13,Mi Planta Naranja Lima,De Vasconcelos,500,1
14,La Niebla,Stephen King,650,6
15,El Zahir,Paulo Coelho,400,5
16,Carretera Maldita,Stephen King,1200,4
17,El Alquimista,Paulo Coelho,400,2
18,La Chica del Tambor,John Le Carre,500,4
19,Fahrenheit 451,Ray Bradbury,600,6
20,Carrie,Stephen King,800,1
21,1824,George Orwell,1100,4
22,Cien anios de Soledad,Gabriel Garcia Marquez,600,4
23,Odisea,Homero,500,3
24,Orgullo y Prejuicio,Jane Austen,500,1
25,Iliada,Homero,180,2
26,Divina Comedia,Dante Alighieri,600,3
27,Romero y Julieta,William Shakespare,400,3
28,Frankestein,Mary Shelley,280,1
29,Hamlet,William Shakespare,400,5
30,Moby Dick,Herman Melville,400,5
